TOOLTIP_STORED_EXP	Experienta stocata: %s
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sageata.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_BLUE	Nu poti folosi Sufletul Lupului Indigo atunci cand este activ Sufletul Lupului Rosu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poti pescui fara sa ai echipata o undita.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticla goala.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticla cu otrava.
CANNOT_SKILL_NEED_TARGET	Care este tinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta in timp ce calaresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am invatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra mortilor.
CANNOT_SKILL_RED	Nu poti folosi Sufletul Lupului Rosu atunci cand este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_USE	Nu poti folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet soptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poti sopti cuiva ceva daca soptitul e complet blocat. 	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armura
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Esarfe
CATEGORY_DRAGON_STONE	Alchimia Piatra Dragon
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Razboiului
CATEGORY_ETC_POLYMORPH	Marmura Transformare
CATEGORY_ETC_RECIPE	Productie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Târnacoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momeala de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peste
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bratari
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | insotitori
CATEGORY_MOUNT_PET_CHARGED_PET	insotitori
CATEGORY_MOUNT_PET_EGG	Oua insotitori
CATEGORY_MOUNT_PET_FREE_PET	insotitori Avansati
CATEGORY_MOUNT_PET_MOUNT	Mounti
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Par
CATEGORY_SKILL	Abilitati
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitarii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Carti Abilitati
CATEGORY_TUNING	imbunatatiri
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Cosumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sageti
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cutite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Sulite
CATEGORY_WEAPON_WEAPON_QUIVER	Tolba
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mâna
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Doua Mâini
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei sa transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] intai trebuie sa scoti obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va sterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poti transforma un obiect in timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poti trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce doresti sa il transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie sa trimiti obiectul mai intâi.
CHANGE_LOOK_NEED_MONEY	Obiecte sau Yang insuficiente.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Aceasta actiune nu este posibila in timp ce fereastra de Transformare este deschisa.
CHANGE_LOOK_TITLE	Transformare
CHANGE_LOOK_TITLE2	Transformare Mount
CHANGE_PET_PLEASE_APPEND_FIRST	Mai intâi trebuie selectat insotitorul.
CHANGE_TOOLTIP2_LINE1	Adauga obiectul tinta in stânga si materialul in dreapta.
CHANGE_TOOLTIP2_LINE2	Apasa pe casuta pentru a utiliza Yang sau un Token Transformare si modifica aspectul mountului.
CHANGE_TOOLTIP2_LINE3	Folosind un Token Transformare schimbi infatisarea mountului fara sa te coste Yang (se va consuma Tokenul).
CHANGE_TOOLTIP2_LINE4	Daca schimbi aspectul unui mount cu durata de timp, durata va ramane neschimbata.
CHANGE_TOOLTIP2_LINE5	Daca mountul este permanent, iar materialul are o durata, mountul va mentine aspectul schimbat pe toata durata materialului.
CHANGE_TOOLTIP_LINE1	Pune in stânga obiectul ce doresti sa il transformi.
CHANGE_TOOLTIP_LINE2	Pune celalalt obiect in dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stânga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) si platesti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	sa transformi un obiect fara a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poti reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nicio informatie gasita via Canal.	
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteaza regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scazut
CHANNEL_TEST_SERVER	Testeaza serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_NAME	Nume
CHARACTER_SELECT_MODE	Alege caracter
CHARGE_BEAD_QUESTION	Animasfere necesare: %d. doresti sa continui?
CHAT_ALL	Toti
CHAT_BLOCK	Blocheaza
CHAT_DICE_INFO	Arunca
CHAT_GUILD	Breasla
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propozitia contine cuvinte nepermise.
CHAT_LOG	Arata mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite soapta [Shift+Enter]
CHAT_SHOUT	Striga
CHAT_SHOUT_LIMIT	Poti striga doar o data la 15 secunde.
CHAT_WHISPER	Soapta
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nu poti arunca bani.
CHEQUE_SYSTEM_PICK_WON	Ai primit %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Pret de vânzare]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Nivel
CLEAR_TIME	Timp
ClosePetChangeWndButton	inchis
COMB_ACCE_IS_CONTINUE_PROCESS	doresti sa continui?
COMB_ACCE_WARNING_MESSAGE	Sursa va fi distrusa la succesul complet sau partial. Transferul poate esua. Rata de absorbtie a obiectului tinta va fi redusa la succesul partial sau esec.
COMB_ACCE_WARNING_MESSAGE1	Sursa va fi distrusa la succesul complet sau partial.
COMB_ACCE_WARNING_MESSAGE2	Transferul poate esua.
COMB_ACCE_WARNING_MESSAGE3	Rata de absorbtie a obiectului tinta va fi redusa la succesul partial sau esec.
COMB_ACCE_WILL_REMOVE_MATERIAL	Sursa va fi distrusa la succesul complet sau partial.
COMB_ALREADY_APPEND	Acest obiect a fost deja ales.
COMB_CANT_APPEND_ITEM	Acest articol nu poate fi folosit.
COMB_CANT_APPEND_SEALED_ITEM	Nu poti folosi niciun obiect personalizat.
COMB_CANT_BASE_ITEM	O esarfa care are deja un bonus nu poate fi folosita ca tinta.
COMB_CANT_MATCH_DRAINRATE	Rata de absorbtie a ambelor obiecte trebuie sa fie identica pentru un transfer de bonus.
COMB_CANT_MATCH_GRADE	Gradul ambelor obiecte trebuie sa fie identic pentru un transfer de bonus.
COMB_CANT_MATERIAL_ITEM	Obiectul sursa trebuie sa aiba un bonus.
COMB_COST	Pret: %s
COMB_IS_CONTINUE_PROCESS	Vrei sa continui?
COMB_NOTICE	Nu poti deschide un magazin privat in timp ce faci negot de carti.
COMB_NOTICE_NOT_OPEN	Nu poti face negot de carti daca ai un magazin privat deschis.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aveti nevoie de un obiect sursa si unul tinta plus obiectul de transfer pentru a transfera bonusuri.
COMB_NOT_FULL_BOOK	Nu, nu putem face afaceri in acest fel. Ti-am spus deja ca fac negot cu tine doar daca imi oferi 10 carti la schimb.
COMB_NOT_ITEM_IN_INVENTORY	Nu poti folosi obiectele echipate.
COMB_NOT_MEDIUM_ITEM	Acest articol nu poate fi folosit.
COMB_WILL_REMOVE_MATERIAL	Obiectul sursa va fi distrus in transferul cu succes.
CREATE_ERROR_GM_NAME	Nu poti folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul tau trebuie sa aiba cel putin nivelul 80.
CREATE_ERROR_TIME_LIMIT	Poti crea un singur caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Numele caracterului este invalid.
CREATE_EXIST_SAME_NAME	Exista deja un caracter cu acest nume.
CREATE_FAILURE	Nu poti crea acest caracter.
CREATE_FULL	Nu mai poti crea alte caractere.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
CUBE_CATEGORY_ACCESSORY	Bijuterii
CUBE_CATEGORY_ARMOR	Armura
CUBE_CATEGORY_BELT	Curele
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Eveniment
CUBE_CATEGORY_WEAPON	Arma
CUBE_MAKE_CONFIRM_QUESTION_1	Cel putin unul dintre obiectele utilizate este extrem de valoros (are mai mult de %d bonusuri).
CUBE_MAKE_CONFIRM_QUESTION_2	Chiar doresti sa continui?
CUBE_NOT_ENOUGH_GOLD	Yang insuficient pentru fabricare.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficient pentru craft.
CUBE_PLEASE_SELECT	Niciun obiect ales.
CZ_REWARD_QUESTION_COMPLETE	Vrei sa revendici acest loc?
CZ_REWARD_TOOLTIP_10GAN	Insigna Zodiac
CZ_REWARD_TOOLTIP_10GAN_COUNT	Numar in inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantitate necesara
CZ_REWARD_TOOLTIP_12ZI	Insigna Gardian
CZ_REWARD_TOOLTIP_12ZI_COUNT	Numar in inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantitate necesara
CZ_REWARD_TOOLTIP_ALL_BOX	Comoara Astrala
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Apasa aici pentru a colecta Comoara Astrala drept recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Apasa aici pentru a colecta Comoara Aventurine drept recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Apasa aici pentru a colecta Comoara Aureolin drept recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Colecteaza
CZ_REWARD_TOOLTIP_GREEN_BOX	Comoara Aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Comoari Aventurine Colectate: %d
CZ_REWARD_TOOLTIP_WEEKLY	Zi
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vineri
CZ_REWARD_TOOLTIP_WEEKLY_MON	Luni
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sâmbata
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sâmbata/Duminica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Joi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Marti
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miercuri
CZ_REWARD_TOOLTIP_YELLOW_BOX	Comoara Aurelion
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Comori Aureolin Colectate: %d
DAY	z
DETAILS_1	Tare vs Jumatate-Om
DETAILS_10	Tare vs Mon. Desert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_14	Paguba Medie
DETAILS_15	Rezist. Paguba Medie
DETAILS_16	Paguba Abilitate
DETAILS_17	Rezistent Paguba Abilitate
DETAILS_19	Atac Magic
DETAILS_20	Sansa Lovit. Critica
DETAILS_21	Lovitura Patrunzat.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Patrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheata
DETAILS_26	Rezist. la intuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vânt
DETAILS_29	Rezist. la Pamânt
DETAILS_3	Tare vs Orci
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Ghetii
DETAILS_32	Puterea intunecata
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vântului
DETAILS_35	Puterea Pamântului
DETAILS_36	Tare vs Razboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs Saman
DETAILS_4	Tare vs Vampir
DETAILS_40	Tare vs Lycan
DETAILS_41	Aparare vs Razboinic
DETAILS_42	Aparare vs Ninja
DETAILS_43	Aparare vs Sura
DETAILS_44	Aparare vs Saman
DETAILS_45	Aparare vs Lycan
DETAILS_46	Aparare Sabie
DETAILS_47	Aparare Doua Mâini
DETAILS_48	Aparare Pumnal
DETAILS_49	Aparare Gheara
DETAILS_5	Tare vs Monstru
DETAILS_50	Aparare Clopot
DETAILS_51	Aparare Evantai
DETAILS_52	Aparare Sageata
DETAILS_53	Sansa de Confuzie
DETAILS_54	Sansa de incetinire
DETAILS_55	Sansa de Otravire
DETAILS_56	rezistenta la Otrava
DETAILS_57	Atac Sângeros
DETAILS_58	Rez. Atac Sângeros
DETAILS_59	Fura PV
DETAILS_6	Tare vs Monst Zodiac
DETAILS_60	Fura PM
DETAILS_61	Recupereaza PV
DETAILS_62	Recupereaza PM
DETAILS_63	Blocheaza Atac
DETAILS_64	Evita Atac Sageti
DETAILS_65	Reflecta Atac Fizic
DETAILS_66	Recup. PV la Ucidere
DETAILS_67	Recup. PM la Ucidere
DETAILS_68	Dublu EXP
DETAILS_69	Dublu Yang
DETAILS_7	Tare vs Animale
DETAILS_70	Sansa Drop
DETAILS_71	Valoarea Atacului
DETAILS_72	Valoarea Apararii
DETAILS_76	rezistenta la Magie
DETAILS_77	Anti-Magie
DETAILS_8	Tare vs Esoterici
DETAILS_9	Tare vs Demon
DETAILS_ATTBONUS_BELL	Vulnerabil Clopot
DETAILS_ATTBONUS_BOW	Vulnerabil Sageata
DETAILS_ATTBONUS_CLAW	Vulnerabil Gheara
DETAILS_ATTBONUS_DAGGER	Vulnerabil Pumnal
DETAILS_ATTBONUS_FAN	Vulnerabil Evantai
DETAILS_ATTBONUS_SWORD	Vulnerabil Sabie
DETAILS_ATTBONUS_TWOHAND	Vulnerabil Doua Mâini
DETAILS_CATE_1	Daune/Aparare
DETAILS_CATE_2	Bonus element
DETAILS_CATE_3	Bonus clasa
DETAILS_CATE_4	Bonus arma
DETAILS_CATE_5	Alte bonusuri
DETAILS_CATE_6	Bonus special
DETAILS_RESIST_MOUNT_FALL	rezistenta la alunecare
DETAILS_TITLE	Detalii
DETAILS_TOOLTIP_1	Tare vs Semi-Oameni: Daune mai mari impotriva Semi-Oameni.
DETAILS_TOOLTIP_10	Tare impotriva Monstrilor de Desert: provoaca daune mai mari monstrilor de desert.
DETAILS_TOOLTIP_11	Tare impotriva Insectelor: provoaca daune mai mari impotriva insectelor.
DETAILS_TOOLTIP_12	Mareste valoarea atacului.
DETAILS_TOOLTIP_13	Mareste valoarea apararii.
DETAILS_TOOLTIP_14	Mareste paguba medie executata pe inamici in atac.
DETAILS_TOOLTIP_15	rezistenta vs paguba medie: reduce daunele primite in atac.
DETAILS_TOOLTIP_16	Mareste daunele executate de o abilitate.
DETAILS_TOOLTIP_17	rezistenta vs paguba abilitate. Reduce daunele primite de la o abilitate.
DETAILS_TOOLTIP_18	Mareste valoarea atacului fizic si magic.
DETAILS_TOOLTIP_19	Mareste daunele atacului magic executat pe inamici in atac.
DETAILS_TOOLTIP_2	rezistenta vs Semi-Oameni: Reduce daunele primite de la Semi-Oameni.
DETAILS_TOOLTIP_20	Creste sansa unei lovituri critice.
DETAILS_TOOLTIP_21	Probabilitate lovitura patrunzatoare: Creste sansa de a executa o lovitura patrunzatoare.
DETAILS_TOOLTIP_24	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_25	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_26	rezistenta la intuneric: Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_27	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_28	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_29	Reduce daunele primite de la anumiti monstri.
DETAILS_TOOLTIP_3	Tare vs Orci: Daune mai mari impotriva orcilor.
DETAILS_TOOLTIP_30	Creste daunele facute cu puterea fulgerului.
DETAILS_TOOLTIP_31	Creste daunele facute cu puterea ghetii.
DETAILS_TOOLTIP_32	Creste daunele facute cu puterea intunecata.
DETAILS_TOOLTIP_33	Creste daunele facute cu puterea focului.
DETAILS_TOOLTIP_34	Creste daunele facute cu puterea vântului.
DETAILS_TOOLTIP_35	Creste daunele facute cu puterea pamântului.
DETAILS_TOOLTIP_36	Tare vs Razboinici: Daune mai mari impotriva razboinicilor.
DETAILS_TOOLTIP_37	Tare vs Ninja: Daune mai mari impotriva ninja.
DETAILS_TOOLTIP_38	Tare vs Sura: Daune mai mari impotriva sura.
DETAILS_TOOLTIP_39	Tare vs Samani: Daune mai mari impotriva samanilor.
DETAILS_TOOLTIP_4	Tare vs Vampiri: Daune mai mari impotriva vampirilor.
DETAILS_TOOLTIP_40	Tare vs Lycani: Daune mai mari impotriva lycanilor.
DETAILS_TOOLTIP_41	Sansa de aparare la atacurile primite de la razboinici: Reduce daunele primite de la razboinici.
DETAILS_TOOLTIP_42	Sansa de aparare la atacurile primite de la ninja: Reduce daunele primite de la ninja.
DETAILS_TOOLTIP_43	Sansa de aparare la atacurile primite de la sura: Reduce daunele primite de la sura.
DETAILS_TOOLTIP_44	Sansa de aparare la atacurile primite de la saman: Reduce daunele primite de la saman.
DETAILS_TOOLTIP_45	Sansa de aparare la atacurile primite de la lycan: Reduce daunele primite de la lycan.
DETAILS_TOOLTIP_46	Reduce daunele produse de o sabie.
DETAILS_TOOLTIP_47	Reduce daunele produse de o arma doua-mâini.
DETAILS_TOOLTIP_48	Reduce daunele produse de un pumnal.
DETAILS_TOOLTIP_49	Reduce daunele produse de o gheara.
DETAILS_TOOLTIP_5	Tare vs Monstri: Daune mai mari impotriva monstrilor.
DETAILS_TOOLTIP_50	Reduce daunele produse de un clopot.
DETAILS_TOOLTIP_51	Reduce daunele produse de un evantai.
DETAILS_TOOLTIP_52	Reduce daunele produse de un arc cu sageti
DETAILS_TOOLTIP_53	Creste sansa de a bate un oponent.
DETAILS_TOOLTIP_54	Creste sansa de a incetini un oponent.
DETAILS_TOOLTIP_55	Creste sansa de a otravi un oponent.
DETAILS_TOOLTIP_56	Reduce daunele produse de otrava.
DETAILS_TOOLTIP_57	Creste sansa de a executa un atac sângeros.
DETAILS_TOOLTIP_58	rezistenta vs atac sângeros: Reduce daunele produse de atac sângeros.
DETAILS_TOOLTIP_59	Fura PV de la oponenti atunci când ii lovesti.
DETAILS_TOOLTIP_6	Tare impotriva Monstrilor Zodiac: Daune mai mari impotriva monstrilor Zodiac.
DETAILS_TOOLTIP_60	Fura PM de la oponenti atunci când ii lovesti.
DETAILS_TOOLTIP_61	Mareste recuperarea punctelor de viata.
DETAILS_TOOLTIP_62	Mareste recuperarea punctelor de magie.
DETAILS_TOOLTIP_63	Sansa de blocare a unui atac fizic: Creste sansa de a evita un atac fizic.
DETAILS_TOOLTIP_64	Sansa de evitare a unui atac cu sageti: Creste sansa de a evita un atac cu sageti sau de la distanta de la un monstru.
DETAILS_TOOLTIP_65	Sansa de a reflecta lovituri fizice: O parte dintre daunele fizice de la oponent sunt reflectate catre el.
DETAILS_TOOLTIP_66	Recuperare PV când omori: Punctele tale de viata cresc când omori un oponent.
DETAILS_TOOLTIP_67	Recuperare PM când omori: Punctele tale de magie cresc când omori un oponent.
DETAILS_TOOLTIP_68	Sansa de a câstiga experienta dubla: Creste sansa de a câstiga bonus de EXP atunci când omori un oponent.
DETAILS_TOOLTIP_69	Sansa la drop dublu Yang: Creste sansa de a primi de doua ori cantiatea de Yang.
DETAILS_TOOLTIP_7	Tare vs Animale: Daune mai mari impotriva animalelor salbatice.
DETAILS_TOOLTIP_70	Sansa la drop obiecte: Creste sansa de a primi de doua ori numarul obiectelor.
DETAILS_TOOLTIP_76	Reduce daunele primite de la atacul magic.
DETAILS_TOOLTIP_77	Reduce rezistenta magica a oponentilor.
DETAILS_TOOLTIP_8	Tare vs Ezoterici: Daune mai mari impotriva ezotericilor.
DETAILS_TOOLTIP_9	Tare vs Demoni: Daune mai mari impotriva demonilor.
DETAILS_TOOLTIP_ATTBONUS_BELL	Vulnerabil aparare Clopot: Reduce apararea oponentului in fata clopotului.
DETAILS_TOOLTIP_ATTBONUS_BOW	Vulnerabil aparare Sageata: Reduce apararea oponentului in fata sagetilor.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Vulnerabil aparare Gheara: Reduce apararea oponentului in fata ghearei.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Vulnerabil aparare Pumnal: Reduce apararea oponentului in fata pumnalului.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vulnerabil aparare Evantai: Reduce apararea oponentului in fata evantaiului.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Vulnerabil aparare Sabie: Reduce apararea oponentului in fata sabiei.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Vulnerabil aparare Doua Mâini: Reduce apararea oponentului in fata armelor doua mâini.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	rezistenta la alunecare: Reduce sansa de a aluneca de pe mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nu poti muta niciun obiect cand ai o cerere in asteptare.
DO_NOT_INSERT_UPBRINGING_PET	insotitorul activ nu poate fi selectat.
DO_YOU_BUY_ITEM1	Vrei sa cumperi %s pentru %s?
DO_YOU_BUY_ITEM2	Vrei sa cumperi %s (%s buc) %s?
DO_YOU_DROP_MONEY	Vrei sa renunti la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sa vinzi %s pentru %s?
DO_YOU_SELL_ITEM2	Vrei sa vinzi %s (%s buc) pentru %s?
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Este dificil sa inlaturi o Piatra Dragon odata ce a fost atasata.
DRAGON_SOUL_EQUIP_WARNING2	doresti sa continui?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
